time,r_pns,mass_pns
0.13,96.3585233277348,0.3394765896752493
0.14,62.8185205533211,0.5357816065524138
0.15,67.4613108911684,0.5699098638543231
0.16,67.4613108911684,0.5790253294046492
0.17,65.8767884387524,0.5875506181118153
0.18,64.3294830425875,0.5956849756260633
0.19,62.8185205533211,0.6031730190164383
0.2,61.3430473535063,0.6110763075211814
0.21,59.9022298753512,0.6182692018459787
0.22,58.4952541297953,0.6249237756204121
0.23,57.1213252466468,0.6309215489719572
0.24,55.7796670255208,0.6364792544466108
0.25,54.469521497326,0.6409342519903912
0.26,51.940825240601896,0.6434722868975942
0.27,50.7208459264803,0.6465230538173838
0.28,49.5295213270266,0.6490984307921535
0.29,48.3661784040482,0.6514763740293922
0.3,47.230159927585305,0.6535680303002932
0.31,46.1208241046099,0.6553822977139366
0.32,45.037544216444296,0.6571505208859822
0.33,43.9797082646977,0.658805055542334
0.34,43.9797082646977,0.6608383766316819
0.35,42.94671862551709,0.6620284379271915
0.36,41.9379917119606,0.6630934228697846
0.37,40.9529576443001,0.6641290692840903
0.38,40.9529576443001,0.6656711443234228
0.39,39.991059928068005,0.6665519195273623
0.4,39.0517551396662,0.6673959498147922
0.41,39.0517551396662,0.6687046909659827
0.42,38.1345126193589,0.6694877428872659
0.43,38.1345126193589,0.6705522845810219
0.44,37.2388141714767,0.671201185763229
0.45,36.3641537716626,0.6719379152426476
0.46,36.3641537716626,0.6729696393822449
0.47,35.5100372809934,0.6736439222311555
0.48,35.5100372809934,0.6745650606143623
0.49,34.675982166816404,0.6751131423617033
0.5,34.675982166816404,0.6760057342259335
0.51,33.8615172301428,0.6765844542641484
0.52,33.8615172301428,0.6774364364898232
0.53,33.0661823394439,0.6780279686687495
0.54,33.0661823394439,0.6788068642042904
0.55,32.2895281707003,0.6793117479464168
0.56,32.2895281707003,0.6800776520060283
0.57,32.2895281707003,0.6808532967952129
0.58,31.5311159535566,0.6813708542135816
0.59,31.5311159535566,0.6821150297796595
0.6,30.7905172234379,0.6825873058391395
0.61,30.7905172234379,0.6832792677704527
0.62,30.0673135794893,0.6837882944979969
0.63,30.0673135794893,0.6845087319110479
0.64,29.361096448200698,0.6849626154371623
0.65,29.361096448200698,0.6855999575760224
0.66,29.361096448200698,0.6862611761506934
0.67,28.6714668525828,0.6867239845970838
0.68,28.6714668525828,0.6873721504398637
0.69,27.998035186766103,0.6878312545048607
0.7,27.998035186766103,0.6884561053990701
0.71,27.998035186766103,0.689037210384398
0.72,27.340420995892597,0.6894674774170442
0.73,27.340420995892597,0.690052932864993
0.74,27.340420995892597,0.690625343062245
0.75,26.6982527611782,0.6910460840518671
0.76,26.6982527611782,0.6916060170981696
0.77,26.6982527611782,0.6921544659105175
0.78,26.6982527611782,0.6926979234378962
0.79,26.0711676900237,0.6930676251183622
0.8,26.0711676900237,0.6935987991813115
0.81,26.0711676900237,0.6941223325417393
0.82,26.0711676900237,0.6946757206352235
0.83,25.4588115110549,0.6950863211049186
0.84,25.4588115110549,0.6955915058644632
0.85,25.4588115110549,0.6961115143226727
0.86,24.8608382739772,0.6964880766015038
0.87,24.8608382739772,0.6969921996346112
0.88,24.8608382739772,0.6974703436524847
0.89,24.8608382739772,0.6979393892575592
0.9,24.8608382739772,0.698405337705748
0.91,24.2769101541316,0.6987880847696106
0.92,24.2769101541316,0.699276975064335
0.93,24.2769101541316,0.6997328639739239
0.94,23.7066972616403,0.7000787776575681
0.95,23.7066972616403,0.7005633934707838
0.96,23.7066972616403,0.7010215484806819
0.97,23.7066972616403,0.7014591747378592
0.98,23.149877455036002,0.7018155110850272
0.99,23.149877455036002,0.7022548112872488
1.0,23.149877455036002,0.7026780344488183
1.01,23.149877455036002,0.7031306030073043
1.02,23.149877455036002,0.7035555005382651
1.03,23.149877455036002,0.7039907438190093
1.04,22.6061361592678,0.7043410900661803
1.05,22.6061361592678,0.7047626954170921
1.06,22.6061361592678,0.7051905013975494
1.07,22.6061361592678,0.7055948179734592
1.08,22.6061361592678,0.706013652566402
1.09,22.6061361592678,0.7064167248190291
1.1,22.075166187982802,0.7067437469807507
1.11,22.075166187982802,0.7071504223319692
1.12,22.075166187982802,0.7075642071834538
1.13,22.075166187982802,0.7079557234857043
1.14,22.075166187982802,0.7083466799646557
1.15,22.075166187982802,0.7087332047287642
1.16,22.075166187982802,0.709125783988837
1.17,21.5566675699808,0.7094354448421032
1.18,21.5566675699808,0.709835789394174
1.19,21.5566675699808,0.7102180894972866
1.2,21.5566675699808,0.7106031355265475
1.21,21.5566675699808,0.7109846984675415
1.22,21.5566675699808,0.7113565227528228
1.23,21.5566675699808,0.7117321211611826
1.24,21.5566675699808,0.7120958993425962
1.25,21.050347379746,0.7123902594288115
1.26,21.050347379746,0.7127621256422816
1.27,21.050347379746,0.7131522547697114
1.28,21.050347379746,0.7135260922673188
1.29,21.050347379746,0.7139020379112533
1.3,21.050347379746,0.7142623424420409
1.31,20.5559195719589,0.7145562059623359
1.32,20.5559195719589,0.7149118254117208
1.33,20.5559195719589,0.7152715432058971
1.34,20.5559195719589,0.7156296359687032
1.35,20.5559195719589,0.7159784226324833
1.36,20.5559195719589,0.7163353993895227
1.37,20.5559195719589,0.7166848972299931
1.38,20.5559195719589,0.7170366958383384
1.39,20.073104819895,0.717323298699957
1.4,20.073104819895,0.7176669151492211
1.41,20.073104819895,0.7180144368583845
1.42,20.073104819895,0.7183582587415707
1.43,20.073104819895,0.7186890915372508
1.44,20.073104819895,0.7190297377034667
1.45,20.073104819895,0.7193518752458857
