time,r_pns,mass_pns
0.25,98.67621742474441,0.3565108700937695
0.26,70.7456091966726,0.5732291523826664
0.27,70.7456091966726,0.6076259698194725
0.28,70.7456091966726,0.6251406784094701
0.29,70.7456091966726,0.6443077607643957
0.3,69.08394557494411,0.6582379443962889
0.31,67.4613108911684,0.6695631914854441
0.32,65.8767884387524,0.6798819384964224
0.33,64.3294830425875,0.6897994505547383
0.34,62.8185205533211,0.699158154531018
0.35,61.3430473535063,0.7082724781946325
0.36,59.9022298753512,0.716855397998315
0.37,57.1213252466468,0.7239437183966659
0.38,57.1213252466468,0.7331717445977026
0.39,55.7796670255208,0.740917683089756
0.4,54.469521497326,0.7478549290881492
0.41,53.1901484960497,0.7544703930762283
0.42,51.940825240601896,0.7612686360243645
0.43,51.940825240601896,0.7688015857182467
0.44,50.7208459264803,0.7750760077063771
0.45,49.5295213270266,0.7812183777630081
0.46,48.3661784040482,0.7870393075975338
0.47,48.3661784040482,0.7934056999746242
0.48,47.230159927585305,0.798234176404862
0.49,47.230159927585305,0.8040687830999026
0.5,46.1208241046099,0.8087334996092679
0.51,45.037544216444296,0.8131668070697688
0.52,45.037544216444296,0.8178860252573317
0.53,43.9797082646977,0.8217899297885867
0.54,42.94671862551709,0.8252010382504691
0.55,42.94671862551709,0.8294557811309446
0.56,41.9379917119606,0.8327630955611822
0.57,41.9379917119606,0.8366893181914743
0.58,40.9529576443001,0.839808597615146
0.59,40.9529576443001,0.8434273482051948
0.6,39.991059928068005,0.8463505157763838
0.61,39.991059928068005,0.8496424063963683
0.62,39.0517551396662,0.8524687778211096
0.63,39.0517551396662,0.8556985782194477
0.64,38.1345126193589,0.8582327659875567
0.65,38.1345126193589,0.8613667516068745
0.66,37.2388141714767,0.8640779910892208
0.67,36.3641537716626,0.8667133440338688
0.68,36.3641537716626,0.8696706693128987
0.69,36.3641537716626,0.8722678454895962
0.7,35.5100372809934,0.8742930130893084
0.71,35.5100372809934,0.8767712579102599
0.72,34.675982166816404,0.8790475321464314
0.73,34.675982166816404,0.8814767140202646
0.74,33.8615172301428,0.8835058393980658
0.75,33.8615172301428,0.8856836516981793
0.76,33.8615172301428,0.8877448159464179
0.77,33.0661823394439,0.8894728355375872
0.78,33.0661823394439,0.8914125147607574
0.79,33.0661823394439,0.8933478540212663
0.8,33.0661823394439,0.8953565935342567
0.81,32.2895281707003,0.8969333669271758
0.82,32.2895281707003,0.8986587376358929
0.83,32.2895281707003,0.9004399698178873
0.84,32.2895281707003,0.9021288050617888
0.85,31.5311159535566,0.9036631123235007
0.86,31.5311159535566,0.9054288017673581
0.87,31.5311159535566,0.9070594684728301
0.88,31.5311159535566,0.9085794229107744
0.89,31.5311159535566,0.9100862782369008
0.9,30.7905172234379,0.9114907537626276
0.91,30.7905172234379,0.9131295489880014
0.92,30.7905172234379,0.9147017316610182
0.93,30.7905172234379,0.9161923057021506
0.94,30.7905172234379,0.917587287044223
0.95,30.0673135794893,0.9188336747184742
0.96,30.0673135794893,0.9204012292881242
0.97,30.0673135794893,0.9219447288016834
0.98,29.361096448200698,0.9231905967419557
0.99,30.0673135794893,0.9247458079423403
1.0,30.0673135794893,0.9260191518501381
1.01,29.361096448200698,0.9271736857450602
1.02,29.361096448200698,0.9286120716250242
1.03,28.6714668525828,0.9298511597911512
1.04,28.6714668525828,0.9310777897868205
1.05,28.6714668525828,0.9322788597145819
1.06,29.361096448200698,0.9334838404698367
1.07,28.6714668525828,0.9345170549648941
1.08,28.6714668525828,0.9355951170339667
1.09,28.6714668525828,0.9365378914842415
1.1,28.6714668525828,0.9376250395208762
1.11,27.998035186766103,0.9386167967544201
1.12,28.6714668525828,0.9396503361876088
1.13,27.998035186766103,0.9404936232556913
1.14,27.998035186766103,0.9414471466483862
1.15,27.998035186766103,0.9423457773255919
1.16,27.998035186766103,0.9433070345131065
1.17,27.998035186766103,0.9442643672313622
1.18,27.998035186766103,0.9451882793742202
1.19,27.998035186766103,0.9461806623950425
1.2,27.340420995892597,0.9471395435930505
1.21,27.340420995892597,0.9481305351991258
1.22,27.340420995892597,0.9489980120957543
1.23,27.340420995892597,0.9498201563299669
